Subject;TextBody;Complaint
LAR claim - package problem;Good afternoon Isadora, Could you give me an order number please? I need this to create a credit note. Thank you!;True
1522290846 (457812);Goedemorgen 1p geblokkeerd – edekanettoprocedure. Brengen we terug naar Hulste. 458712-001 Met vriendelijke groeten – Cordialement –;True
FW: SKU 080607540016 - No Box Label;Dear, Further investigation was requested for complaint 00027966. Below you find relevant information of complaint. An investigator needs to be appointed. Overview Complaint: - Company name: SAINSBURY'S SUPERMARKETS LTD- Reason for complaint: Coding box-- Details for complaint: Missing code-- Customer description: - Responsible party: Wielsbeke (P014) - AW2 Request from CX: Erik, Hans, ik zie dat er enkel een controle 21h05 was en 23h45, maar geen controle ertussen. Nu hebben we 1 volledige pallet zonder labels. Is iets misgegaan? Zien jullie iets in het logboek?CX Owner: Marlies De KeteleLink to complaint: 00027966 Thanks for taking up this further investigation.;True
FW: Asda Crinkle Cut Chips - Nutrition Out of Spec;Hi Daniel, I chased our quality team this morning. Hope to inform you asap.;True
000200085406  - Incident sur le produit Rosty - 60;000200085406 - Incident sur le produit Rosty - 60;True
000200085406  - Incident sur le produit Rosty - 60;Cher client, Nous vous remercions de nous avoir informés du problème ci-dessous. Votre réclamation a été enregistrée dans notre système sous le numéro de ticket: 00028010. Afin d'assurer une communication efficace, veuillez répondre à cet e-mail pour toute communication ultérieure à ce sujet. Cordialement,L'équipe des réclamations d'Agristothread::r-Xicgp-G7qNEawgsCFT0XQ::L'èquipe des rèclamations d'Agristo............................................................................................... Ridder de Ghellinckstraat 9, B-8710 Wielsbeke, Belgiumclaims@agristo.com www.agristo.com;True
Réclamation consommateur - Reponse fournisseur [N° de reclamation=FR-2024-08138] du 27/05/2024 19:01:50;Madame, Monsieur, Nous vous faisons parvenir ci-dessous les informations relatives à la réclamation d'un de nos clients. Réclamation : Catégorie : Produit\Réclamation produit\Santé - Allergie\Allergie alimentaire Motif : La cliente a acheté le 10 ou le 11 mai 2024 et est tombée malade jeudi dernier, elle a été voir son allergologue qui lui a dit qu'elle a fait une allergie alimentaire suite à la consommation de potatoes à l'huile de tournesol. Elle souhaiterait connaître la composition du produit pour savoir à quoi elle est allergique. Transfert médecin conseil : oui Traçabilité : Produit : 3256220516303, Potatoes au four U sachet 1 Kg Fournisseur : AGRISTO NV N° Lot/Série : D0324109 Heure de production : 05:47 DLC / DLUO : 17/04/2026 Code emballeur : Vous connaissez l'attention que nous apportons aux produits signés à notre marque . Elle reflète auprès de nos clients toute l'image qualité de l'enseigne. La qualité des produits à notre marque étant liée au respect des cahiers des charges, nous vous demandons donc de procéder à des recherches afin de déterminer l'origine de cet incident et de nous faire part des actions correctives qui seront mises en place afin qu'un tel incident ne se renouvelle pas. Vos éléments de réponse devront nous parvenir par mail sous 5 jours. Si toutefois, une analyse plus approfondie s'avère nécessaire, nous vous demandons de bien vouloir nous en aviser. Nous vous remercions de nous répondre PAR MAIL. Bien cordialement, Le service clients des Magasins U. Attention : Pour le bon traitement du dossier, merci de ne pas supprimer la référence de la réclamation en objet de votre message de réponse.;True
RELANCE COMMUNICATION - Portail Logistique - ITM LAI;"Bonjour, Nous nous permettons de vous relancer au sujet du Portail logistique ITM. Nous vous l’avions présenté il y a quelques temp. Cependant, à ce jour, nous sommes sans réponse de votre part. Nous vous laissons revenir vers vos interlocutrices afin de convenir un RDV pour échanger et connaitre votre position. - Fatyne BOUFOUS - fatyne.boufous@mousquetaires.com<mailto:fatyne.boufous@mousquetaires.com> : Frais non laitier (volailles, œuf, traiteur, charcuterie, traiteur de la mer, viandes) - Priscillia LUZOLO - priscillia.luzolo@mousquetaires.com<mailto:priscillia.luzolo@mousquetaires.com> : DPH (Parfumerie, entretien et Hygiène) & Epicerie Salée - Marylise GOBIN - marylise.gobin@mousquetaires.com<mailto:marylise.gobin@mousquetaires.com> : Epicerie Sucrée / PPI & Animaux - Chloé MAYALA - chloe.mayala@mousquetaires.com<mailto:chloe.mayala@mousquetaires.com> : Vins & Champagnes, BNA, Bière, Alcools & Gel - Faustine BOSIO : faustine.bosio@mousquetaires.com<mailto:faustine.bosio@mousquetaires.com> : Frais Laitier - Carine GALLETTE : carine.gallette@mousquetaires.com<mailto:carine.gallette@mousquetaires.com> : Maison/Textile Cordialement, [cid:image001.png@01DAB10D.2A7EB890] ----------------------------- Disclaimer ------------------------------ --- Ce message ainsi que les éventuelles pièces jointes constituent une correspondance privée et confidentielle à l'attention exclusive du destinataire désigné ci-dessus. Si vous n'êtes pas le destinataire du présent message ou une personne susceptible de pouvoir le lui délivrer, il vous est signifié que toute divulgation, distribution ou copie, totale ou partielle, sur un quelconque support de cette transmission est strictement interdite. Si vous avez recu ce message par erreur, nous vous remercions d'en informer l'expéditeur par téléphone ou de lui retourner le présent message, puis d'effacer immédiatement ce message de votre systeme. Tout message électronique est susceptible d'altération. Le ""groupement des Mousquetaires"" décline toute responsabilité au titre de ce message s'il a été altéré, déformé ou falsifié.--- --- This e-mail and any attachments is a confidential correspondence intended only for use of the individual or entity named above. If you are not the intended recipient or the agent responsible for delivering the message to the intended recipient, you are hereby notified that any disclosure, distribution or copying, either whole or partial, in any medium of this communication is strictly prohibited. If you have received this communication by mistake, please notify the sender by phone or by replying this message, and then delete this message from your system. E-mails are susceptible of alteration. The ""Mousquetaires' group"" shall not therefore be liable for the message if altered, changed or falsified.--- -----------------------------------------------------------------------";True
Complaint 00654411 - Foreign object;Dear Regina, My apologies. I was on leave previous week and this complaint was overlooked by my colleagues. I have registered this complaint in our system with ref. 28033. This product was produced in our facility in Tilburg (The Netherlands) on 6/06/23 and packed 7/06/23. First of all we apologies for this complaint.bBased on the picture we identify this as a piece of leafage. This product was produced the 7th of June 2023. No remarks were made during the production. Leafage is normally removed with the following equipment or processes: 1)Washing –inline process 2)‘Stalk removal fingers’- inline process –this is a device similar to a rake which catches any stalk passing on the production line. 3)Optical sorters- these are designed to identify any foreign bodies, such as leafage. It is very rare to get a complaint of this nature, but a piece of leafage must have passed through the system. Our Technical Team have checked the process sheets on the day, and all equipment appears to have been working correctly, with no notification of breakdowns or issues. We consider this as an isolated case. I have completed the document you have sent me. Please find in attachment. Please do not hesitate to contact me, if you have more questions. Kr, Michelle Michelle Bevernage Technical Sales Officer P +32 496 38 91 92 --------------- Original Message --------------- From: Chan, Regina [regina.chan@simplot.com] Sent: 20/05/2024 06:55 To: Michelle.Bevernage@agristo.com Cc: Phillip.Dwyer@simplot.com Subject: Complaint 00654411 - Foreign object Hi Michelle, Hope you are well. Consumer has reported a foreign object in the potato, which she believes is mouse’s tail, see complaint attached. Can you please investigate and respond with findings and corrective actions by 27/05/24, thanks. Regina Chan | Vendor Assurance Coordinator | Outsource Quality APAC Cell. 0487 122 583 Regina.Chan@simplot.com A: Chifley Business Park, 2 Chifley Drive, Mentone, VIC 3194 Notice to Recipients: The information transmitted by this email (including hyperlinks and attachments, if any) is intended only for the person or entity to which it is addressed. This email may contain proprietary, business-confidential and/or legally privileged materials. If the recipient is a government employee, government entity or government contractor, be advised that the J.R. Simplot Company may consider this information private and business confidential and does not waive any applicable exemptions under a subsequent FOIA request or equivalent state-specific FOIA request. If you are not the intended recipient of this message, be aware that any use, review, retransmission, distribution, reproduction or any action taken in reliance upon this message is strictly prohibited. If you received this in error, please contact the sender and delete the material from all computers. PLEASE NOTE: This Simplot email and its attachments may contain proprietary and confidential material and may be subject to copyright or legal professional privilege. They are not subject to release under a Freedom of Information legislation request. If you receive this in error, please contact the sender immediately and kindly delete the email and do not use, copy or disclose it. All of this applies to any further emails in this email chain.;True
Réclamation qualité Sysco France / Litige n° 24,2906 - 2629366;Bonjour, Voici une photo de l’étiquette carton avec le lot. Est-ce que cela vous suffit. Veuillez m’excuser pour le délai de réponse, nous avons dû relancer plusieurs fois le client. Cordialement, Quentin Caritté | Assistant Qualité Client (apprenti) Sysco France ZI Louis Delaporte – CS 30041 – 76201 Dieppe Cedex Tél. +33 2 32 06 92 02 Mob. +33 6 88 09 90 36;True
