Subject;TextBody;Complaint;Complaint_type
new order;Good morning, Please, find attached the new order PDF.;False;
overview orders week 35;Hi Alexia, Thanks for the overview! I have a question, whats the difference of ETA and Actual time of arrival? Actual time is more updated?;False;
Bestellung von Hofer trgovina d.o.o. (10743/397305);;False;
Nuevo pedido PCC28-082957 El Mar Frozen Food;Hola David, Por el momento no hay cita de carga. Pido al transportista que reserve una cita para la carga. Saludos, Zoë Zoë Feys Customer Service Agristo nv P +32 56 54 11 67 --------------- Original Message --------------- From: David Soto [david@srosell.es] Sent: 30/08/2024 08:33 To: service@agristo.com Subject: RV: Nuevo pedido PCC28-082957 El Mar Frozen Food Hola Zoë, Puedes revisar esta orden de carga, ¿está organizado para cargar semana que viene? Saludos, David Soto Rosell .............................................................................. Waterstraat 40, B-8531 Harelbeke-Hulste, Belgium P + 32 56 73 50 32 M + 34.667.63.64.00 www.agristo.com De: David Soto [mailto:david@srosell.es] Enviado el: martes, 27 de agosto de 2024 11:40 Para: 'Agristo Service' CC: 'Liberto' Asunto: Nuevo pedido PCC28-082957 El Mar Frozen Food Buenos días Alexia, Adjunto nuevo pedido para El Mar Frozen Food. Saludos, David Soto Rosell .............................................................................. Waterstraat 40, B-8531 Harelbeke-Hulste, Belgium P + 32 56 73 50 32 M + 34.667.63.64.00 www.agristo.com Libre de virus.www.avast.com thread::uwA2m45fFrWw3vYsz0AqO3Q::;False;
Credit Limit change for 1000007527 COMPANIA PESQUE;;False;
2x afhalen week 36;Hoi Wesley, Dit is oké. Wij hebben al 2 orders in ons systeem zitten voor volgende week (4500124905-10 + 4500124905-20). Oké als ik van deze 2 orders de datum aanpas naar laden dinsdag en woensdag of is het een ander PO nummer? Met vriendelijke groeten, Zoë Zoë Feys Customer Service Agristo nv P +32 56 54 11 67 --------------- Original Message --------------- From: InboundLogistics [inboundlogistics@farmfrites.com] Sent: 30/08/2024 10:39 To: service@agristo.com Cc: inboundlogistics@farmfrites.com Subject: 2x afhalen week 36 Hoi zoe, Graag zouden we komende week 2 vrachten 547.002 bij jullie komen afhalen. Kunnen we 1 vracht op dinsdag en 1 vracht op woensdag komen ophalen ? Vernemen graag.;False;
Payment Detail (Kindly confirm receipt);Hi Elynn/Beau, Please see below the payment information for the transfer that was done today. Transaction #32EUR24TTS00233 Amount €31,500.00 Invoice # 9062561 Transaction sent : August 29, 2024 Bank Approval done : August 29d, 2024;False;
Rendelés SPAR Magyarországtól / Order from SPAR Hungary / Bestellung von SPAR Ungarn;Good morning Monika, Can you please help me with article 5996666000353 I don't find the corresponding article.;False;
AGR6277128;Liesbeth Soubry Customer Service Agristo nv P +32 56 54 11 59 --------------- Forwarded Message --------------- From: Gameren Planning [gameren.planning@onelineage.com] Sent: 30/08/2024 08:30 To: service@agristo.com Subject: AGR6277128 Goedemorgen, Deze order hebben we gister helaas niet kunnen laden. Wanneer is het volgende moment dat we hem kunnen laden?;False;
Payment Detail (Kindly confirm receipt);Hi, Payment Lydford 3629 for invoice 9062561. @orderrelease Can you release orders 470595 and 474350? Thank you!;False;
Bell Farms Crinkle Cut Chips 1kg Artwork v1;Hi Laura, I’ve checked the artwork. Please seen my comments below. * Should colors also be extended to the sides ( beside the print free zone on the right) or should it stay white for this brand? * If you like you can move the best before cox to the same height as the text box. In that way it’s aligned. * As the print should be in the same direction as the text the textbox should be 60 wide on the other direction. As our print is 50mm we like to have a bit of marges. * [cid:image001.png@01DAFAC8.E01819D0] Storage instructions * Keep frozen at or below -18 °C Cooking instructions * Suggest adding time range to cooking icons. i.e. Air fryer 8 – 10 minutes, Oven 25-30 minutes [cid:image003.png@01DAFACA.34B277A0] * What do they mean with multiple origins? Nutritional valeu * Is not in line with the specification. [cid:image005.png@01DAFACA.AE3222B0] [cid:image006.png@01DAFACA.AE3222B0];False;
Slot booking  AGR8338952;Hola Zoë, Veo que de este slot booking para carga mañana, sobra un palet (32 Euros + 1 Blockpalet) no cabe todo. [cid:image001.png@01DAFAD5.5F3F6860] Del pedido 616350: Es posible cambiar la 308091, por Europalet? Si no es posible, quitar 1 palet de 308857. Saludos, [agristo_logo_email] David Soto Rosell .............................................................................. Waterstraat 40, B-8531 Harelbeke-Hulste, Belgium P + 32 56 73 50 32 M + 34.667.63.64.00 www.agristo.com [https://s-install.avcdn.net/ipm/preview/icons/icon-envelope-tick-round-orange-animated-no-repeat-v1.gif]<https://www.avast.com/sig-email?utm_medium=email&utm_source=link&utm_campaign=sig-email&utm_content=emailclient> Libre de virus.www.avast.com<https://www.avast.com/sig-email?utm_medium=email&utm_source=link&utm_campaign=sig-email&utm_content=emailclient>;False;
Credit Limit change for 1000002913 VANGRUP 99 S.A.;;False;
